# 1
1 0.000104 0.000164 0.001054 0.015648 
# 2
2 0.000076 0.000052 0.001789 0.031294 
# 4
4 0.000035 0.000049 0.002549 0.062662 
# 8
8 0.000023 0.000051 0.005381 0.125324 
# 16
16 0.000024 0.000041 0.010100 0.250701 
# 32
32 0.000026 0.000057 0.016670 0.501392 
# 64
64 0.000023 0.000052 0.015647 1.000146 
# 128
128 0.000075 0.000031 0.050515 1.020018 
# 256
256 0.000005 0.000023 0.099336 1.022467 
# 512
512 0.000007 0.000010 0.000041 1.051562 
# 1024
1024 0.000004 0.000006 0.000034 1.009455 
# 2048
2048 0.000004 0.000003 0.000008 1.331535 
# 4096
4096 0.000004 0.000004 0.000007 1.041440 
# 8192
8192 0.0 0.000004 0.000006 0.000005 
# 16384
16384 0.0 0.0 0.000002 0.000003 
# 32768
32768 0.0 0.0 0.0 0.000001 
