size	stride	elapsed(s)	cycles
4096	1	0.007471	958
4096	2	0.008371	889
4096	4	0.009261	887
4096	8	0.010138	874
4096	16	0.011063	923
4096	32	0.011931	867
4096	64	0.012763	831
4096	128	0.013578	813
4096	256	0.014374	795
4096	512	0.015188	810
4096	1024	0.015948	758
4096	2048	0.016710	760
8192	1	0.018618	1888
8192	2	0.020405	1778
8192	4	0.022218	1808
8192	8	0.023975	1754
8192	16	0.025758	1780
8192	32	0.027562	1802
8192	64	0.029294	1730
8192	128	0.030913	1618
8192	256	0.032538	1624
8192	512	0.034163	1623
8192	1024	0.035754	1590
8192	2048	0.037426	1671
8192	4096	0.039141	1713
16384	1	0.042840	3647
16384	2	0.046411	3553
16384	4	0.049968	3548
16384	8	0.053478	3505
16384	16	0.057074	3592
16384	32	0.060626	3549
16384	64	0.064174	3546
16384	128	0.067725	3549
16384	256	0.071120	3393
16384	512	0.074355	3233
16384	1024	0.077532	3176
16384	2048	0.080846	3312
16384	4096	0.084307	3460
16384	8192	0.087647	3339
32768	1	0.094900	7167
32768	2	0.102009	7074
32768	4	0.109084	7056
32768	8	0.116022	6928
32768	16	0.122822	6794
32768	32	0.129528	6702
32768	64	0.136644	7113
32768	128	0.143769	7123
32768	256	0.150787	7016
32768	512	0.157413	6624
32768	1024	0.163890	6475
32768	2048	0.170673	6782
32768	4096	0.177744	7070
32768	8192	0.184669	6923
32768	16384	0.191286	6616
65536	1	0.204979	13498
65536	2	0.218029	12980
65536	4	0.232021	13958
65536	8	0.246231	14192
65536	16	0.260325	14084
65536	32	0.274135	13804
65536	64	0.286235	12097
65536	128	0.298476	12238
65536	256	0.310749	12271
65536	512	0.323084	12333
65536	1024	0.335798	12713
65536	2048	0.368420	32620
65536	4096	0.400797	32376
65536	8192	0.414885	14086
65536	16384	0.428751	13865
65536	32768	0.442037	13285
131072	1	0.469262	26905
131072	2	0.495344	25945
131072	4	0.523361	27949
131072	8	0.551991	28595
131072	16	0.580237	28228
131072	32	0.607914	27667
131072	64	0.632115	24195
131072	128	0.656389	24271
131072	256	0.680745	24353
131072	512	0.705186	24439
131072	1024	0.729478	24290
131072	2048	0.797790	68310
131072	4096	0.901841	104049
131072	8192	0.998421	96579
131072	16384	1.026505	28082
131072	32768	0.054414	27907
131072	65536	0.080879	26463
262144	1	0.135265	53787
262144	2	0.187404	51869
262144	4	0.243722	56183
262144	8	0.300174	56384
262144	16	0.356014	55805
262144	32	0.410443	54411
262144	64	0.463065	52612
262144	128	0.519533	56460
262144	256	0.582756	63219
262144	512	0.647654	64895
262144	1024	0.714967	67311
262144	2048	0.788071	73102
262144	4096	1.018605	230532
262144	8192	0.242565	223959
262144	16384	0.372350	129783
262144	32768	0.428604	56253
262144	65536	0.484466	55860
262144	131072	0.537590	53123
524288	1	0.646492	107648
524288	2	0.750764	103737
524288	4	0.863346	112314
524288	8	0.975930	112448
524288	16	1.087512	111514
524288	32	0.196313	108766
524288	64	0.304021	107689
524288	128	0.430633	126601
524288	256	0.582228	151587
524288	512	0.738179	155947
524288	1024	0.896933	158750
524288	2048	1.051798	154863
524288	4096	0.509192	457391
524288	8192	0.964300	455106
524288	16384	1.405125	440823
524288	32768	0.779276	374150
524288	65536	0.899360	120082
524288	131072	1.010359	110997
524288	262144	0.116607	106247
1048576	1	0.334083	215230
1048576	2	0.542895	207741
1048576	4	0.767935	224507
1048576	8	0.993083	224881
1048576	16	1.215711	222493
1048576	32	0.432762	216982
1048576	64	0.649735	216936
1048576	128	0.912173	262416
1048576	256	1.237171	324983
1048576	512	0.573334	336155
1048576	1024	0.918566	345227
1048576	2048	1.231101	312532
1048576	4096	1.142794	911689
1048576	8192	1.068135	925338
1048576	16384	0.963651	895514
1048576	32768	1.804489	840836
1048576	65536	1.560660	756169
1048576	131072	0.800532	239871
1048576	262144	1.022926	222393
1048576	524288	0.235249	212321
2097152	1	0.670665	431014
2097152	2	1.088253	415449
2097152	4	0.538922	449601
2097152	8	0.989443	449988
2097152	16	1.435167	445455
2097152	32	0.869980	434678
2097152	64	1.304694	434642
2097152	128	0.830195	525459
2097152	256	1.480674	650452
2097152	512	1.155508	674818
2097152	1024	0.849554	694038
2097152	2048	1.471045	621486
2097152	4096	2.313407	1842357
2097152	8192	2.156190	1842779
2097152	16384	1.956719	1800526
2097152	32768	2.702945	1746224
2097152	65536	2.473720	1770741
2097152	131072	1.629156	1155434
2097152	262144	1.109589	480432
2097152	524288	0.554100	444509
2097152	1048576	0.978173	424071
4194304	1	1.849195	862302
4194304	2	1.685135	831601
4194304	4	1.587592	900322
4194304	8	1.489285	900599
4194304	16	1.382582	892763
4194304	32	1.256081	873224
4194304	64	1.139157	882932
4194304	128	1.222247	1083004
4194304	256	1.576871	1354569
4194304	512	1.974109	1397209
4194304	1024	2.429953	1455828
4194304	2048	1.783685	1353722
4194304	4096	4.426057	3642361
4194304	8192	4.061269	3635206
4194304	16384	3.658022	3596749
4194304	32768	4.198467	3540444
4194304	65536	3.636843	3438373
4194304	131072	3.999751	3362905
4194304	262144	4.142469	3142716
4194304	524288	1.102623	960152
4194304	1048576	0.990867	888243
4194304	2097152	1.839200	848331
