size	stride	elapsed(s)	cycles
4096	1	0.002355	2356
4096	2	0.002352	2352
4096	4	0.002349	2349
4096	8	0.001722	1722
4096	16	0.000993	993
4096	32	0.000991	992
4096	64	0.000997	997
4096	128	0.001025	1025
4096	256	0.000915	914
4096	512	0.000902	901
4096	1024	0.000908	907
4096	2048	0.000963	962
8192	1	0.002018	2018
8192	2	0.002013	2013
8192	4	0.002034	2034
8192	8	0.002084	2084
8192	16	0.002119	2119
8192	32	0.002235	2236
8192	64	0.002325	2326
8192	128	0.002573	2574
8192	256	0.001991	1991
8192	512	0.001831	1831
8192	1024	0.001801	1801
8192	2048	0.001872	1873
8192	4096	0.002005	2005
16384	1	0.003998	3998
16384	2	0.004024	4024
16384	4	0.004068	4068
16384	8	0.004166	4166
16384	16	0.004243	4243
16384	32	0.004447	4447
16384	64	0.004735	4735
16384	128	0.005695	5695
16384	256	0.003845	3844
16384	512	0.003982	3982
16384	1024	0.003660	3660
16384	2048	0.003716	3716
16384	4096	0.003998	3997
16384	8192	0.003988	3988
32768	1	0.007954	7954
32768	2	0.008014	8014
32768	4	0.008014	8014
32768	8	0.008114	8114
32768	16	0.008212	8212
32768	32	0.008425	8425
32768	64	0.008763	8763
32768	128	0.009526	9526
32768	256	0.007881	7881
32768	512	0.007906	7905
32768	1024	0.007963	7963
32768	2048	0.007544	7544
32768	4096	0.008137	8137
32768	8192	0.007994	7994
32768	16384	0.008024	8024
65536	1	0.015893	15894
65536	2	0.015964	15964
65536	4	0.016000	16000
65536	8	0.016194	16194
65536	16	0.016372	16373
65536	32	0.016867	16867
65536	64	0.018366	18365
65536	128	0.019998	19998
65536	256	0.017640	17641
65536	512	0.017663	17664
65536	1024	0.018252	18252
65536	2048	0.019969	19968
65536	4096	0.051514	51514
65536	8192	0.016272	16272
65536	16384	0.015988	15988
65536	32768	0.016046	16045
131072	1	0.031740	31740
131072	2	0.031850	31850
131072	4	0.031905	31905
131072	8	0.032145	32146
131072	16	0.032438	32438
131072	32	0.033222	33222
131072	64	0.034976	34975
131072	128	0.036476	36475
131072	256	0.035172	35172
131072	512	0.035247	35246
131072	1024	0.036291	36291
131072	2048	0.038837	38837
131072	4096	0.102539	102539
131072	8192	0.100644	100643
131072	16384	0.032542	32542
131072	32768	0.031979	31979
131072	65536	0.032027	32027
262144	1	0.063342	63342
262144	2	0.063419	63419
262144	4	0.063532	63532
262144	8	0.063870	63870
262144	16	0.064417	64417
262144	32	0.066264	66264
262144	64	0.070513	70513
262144	128	0.072028	72029
262144	256	0.069141	69142
262144	512	0.068623	68623
262144	1024	0.073840	73839
262144	2048	0.085448	85448
262144	4096	0.205789	205789
262144	8192	0.200869	200870
262144	16384	0.206993	206993
262144	32768	0.065084	65084
262144	65536	0.063944	63944
262144	131072	0.064226	64227
524288	1	0.126675	126675
524288	2	0.126661	126660
524288	4	0.127234	127235
524288	8	0.128084	128084
524288	16	0.129723	129723
524288	32	0.135377	135376
524288	64	0.150415	150414
524288	128	0.154324	154324
524288	256	0.147817	147817
524288	512	0.151999	151999
524288	1024	0.169587	169587
524288	2048	0.194812	194812
524288	4096	0.419140	419140
524288	8192	0.414596	414596
524288	16384	0.409499	409499
524288	32768	0.411506	411506
524288	65536	0.141426	141425
524288	131072	0.127921	127921
524288	262144	0.128386	128386
1048576	1	0.252953	252953
1048576	2	0.253157	253157
1048576	4	0.254371	254371
1048576	8	0.255866	255866
1048576	16	0.258976	258975
1048576	32	0.269983	269984
1048576	64	0.299716	299715
1048576	128	0.306887	306887
1048576	256	0.296693	296693
1048576	512	0.305538	305538
1048576	1024	0.340093	340093
1048576	2048	0.390476	390476
1048576	4096	0.839108	839109
1048576	8192	0.848458	848459
1048576	16384	0.911790	911789
1048576	32768	0.989272	989272
1048576	65536	0.824944	824944
1048576	131072	0.282797	282797
1048576	262144	0.255808	255808
1048576	524288	0.256520	256520
2097152	1	0.506159	506159
2097152	2	0.506732	506732
2097152	4	0.509378	509378
2097152	8	0.512390	512390
2097152	16	0.518841	518841
2097152	32	0.541243	541243
2097152	64	0.601605	601605
2097152	128	0.618123	618123
2097152	256	0.594123	594123
2097152	512	0.613772	613772
2097152	1024	0.680717	680717
2097152	2048	0.781428	781429
2097152	4096	1.565509	1565509
2097152	8192	1.634086	1634085
2097152	16384	1.801670	1801670
2097152	32768	1.762756	1762756
2097152	65536	1.699147	1699147
2097152	131072	1.611050	1611050
2097152	262144	0.565640	565640
2097152	524288	0.511622	511622
2097152	1048576	0.513507	513507
4194304	1	1.023862	1023862
4194304	2	1.025191	1025190
4194304	4	1.022727	1022727
4194304	8	1.051483	1051483
4194304	16	1.109552	1109552
4194304	32	1.209999	1209998
4194304	64	1.427450	1427450
4194304	128	1.494291	1494291
4194304	256	1.500315	1500315
4194304	512	1.625477	1625477
4194304	1024	1.923506	1923506
4194304	2048	2.328939	2328939
4194304	4096	3.362267	3362268
4194304	8192	2.490317	2490317
4194304	16384	2.520268	2520269
4194304	32768	2.532042	2532043
4194304	65536	2.555497	2555497
4194304	131072	2.629692	2629692
4194304	262144	2.721663	2721663
4194304	524288	1.754076	1754076
4194304	1048576	1.023338	1023338
4194304	2097152	1.026504	1026504
