size	stride	elapsed(s)	cycles
4096	1	0.008039	958
4096	2	0.008937	888
4096	4	0.009827	886
4096	8	0.010701	871
4096	16	0.011622	919
4096	32	0.012502	878
4096	64	0.013357	853
4096	128	0.014193	834
4096	256	0.015017	823
4096	512	0.015833	814
4096	1024	0.016596	762
4096	2048	0.017358	760
8192	1	0.019272	1879
8192	2	0.021057	1775
8192	4	0.022835	1773
8192	8	0.024616	1778
8192	16	0.026398	1778
8192	32	0.028200	1801
8192	64	0.029966	1764
8192	128	0.031656	1688
8192	256	0.033276	1619
8192	512	0.034862	1584
8192	1024	0.036460	1597
8192	2048	0.038076	1614
8192	4096	0.039761	1684
16384	1	0.043453	3641
16384	2	0.047023	3552
16384	4	0.050581	3547
16384	8	0.054090	3504
16384	16	0.057656	3563
16384	32	0.061210	3552
16384	64	0.064753	3541
16384	128	0.068281	3527
16384	256	0.071597	3315
16384	512	0.074834	3235
16384	1024	0.078017	3181
16384	2048	0.081361	3343
16384	4096	0.084829	3467
16384	8192	0.088149	3319
32768	1	0.095366	7130
32768	2	0.102519	7118
32768	4	0.109597	7060
32768	8	0.116548	6941
32768	16	0.123297	6744
32768	32	0.130409	7107
32768	64	0.137502	7091
32768	128	0.144626	7122
32768	256	0.151670	7042
32768	512	0.158290	6618
32768	1024	0.164775	6483
32768	2048	0.171435	6659
32768	4096	0.178497	7061
32768	8192	0.185536	7037
32768	16384	0.192180	6643
65536	1	0.205848	13472
65536	2	0.218881	12964
65536	4	0.232849	13934
65536	8	0.247130	14263
65536	16	0.261260	14121
65536	32	0.275165	13900
65536	64	0.287345	12177
65536	128	0.299488	12141
65536	256	0.311810	12320
65536	512	0.324146	12335
65536	1024	0.336856	12709
65536	2048	0.352718	15861
65536	4096	0.401976	49257
65536	8192	0.416065	14088
65536	16384	0.429959	13893
65536	32768	0.443261	13301
131072	1	0.470437	26845
131072	2	0.496592	26019
131072	4	0.524715	28055
131072	8	0.553297	28547
131072	16	0.581616	28301
131072	32	0.609433	27808
131072	64	0.634087	24648
131072	128	0.659341	25249
131072	256	0.685060	25717
131072	512	0.711425	26363
131072	1024	0.738706	27279
131072	2048	0.803671	64963
131072	4096	0.907403	103730
131072	8192	0.972099	64695
131072	16384	1.000327	28226
131072	32768	0.028170	27841
131072	65536	0.054623	26452
262144	1	0.109146	53920
262144	2	0.161350	51935
262144	4	0.217511	56025
262144	8	0.274411	56831
262144	16	0.330711	56265
262144	32	0.384998	54268
262144	64	0.437532	52524
262144	128	0.495463	57924
262144	256	0.560496	65029
262144	512	0.627431	66932
262144	1024	0.696957	69524
262144	2048	0.773551	76591
262144	4096	0.998820	225268
262144	8192	1.235664	236842
262144	16384	0.365365	129699
262144	32768	0.421561	56195
262144	65536	0.476995	55432
262144	131072	0.530138	53142
524288	1	0.639014	107704
524288	2	0.743491	103939
524288	4	0.855994	112234
524288	8	0.969470	113341
524288	16	1.081588	112050
524288	32	0.189645	108020
524288	64	0.298920	109256
524288	128	0.427324	128393
524288	256	0.583140	155808
524288	512	0.744753	161608
524288	1024	0.909743	164987
524288	2048	1.069685	159940
524288	4096	0.527646	457958
524288	8192	0.986972	459325
524288	16384	1.394976	408002
524288	32768	0.681845	286868
524288	65536	0.801758	119912
524288	131072	0.912875	111115
524288	262144	1.019155	106279
1048576	1	0.236963	215564
1048576	2	0.446076	208040
1048576	4	0.670684	224073
1048576	8	0.897251	226269
1048576	16	1.120847	223461
1048576	32	0.335579	214663
1048576	64	0.556279	220663
1048576	128	0.820498	264197
1048576	256	1.149670	329158
1048576	512	0.492875	343197
1048576	1024	0.847450	354570
1048576	2048	1.170952	323499
1048576	4096	1.102020	931064
1048576	8192	0.997031	895009
1048576	16384	1.858067	861033
1048576	32768	1.703368	845299
1048576	65536	1.442558	739188
1048576	131072	0.682679	240120
1048576	262144	0.904524	221844
1048576	524288	1.116692	212167
2097152	1	0.552003	430909
2097152	2	0.969968	415824
2097152	4	1.419236	448198
2097152	8	0.872152	452384
2097152	16	1.317981	445561
2097152	32	0.746781	428664
2097152	64	1.188185	441332
2097152	128	0.717503	529274
2097152	256	1.376457	658927
2097152	512	1.065292	688820
2097152	1024	0.776755	711455
2097152	2048	1.425416	648657
2097152	4096	2.269033	1843611
2097152	8192	2.092789	1823752
2097152	16384	1.817297	1724506
2097152	32768	2.499253	1681954
2097152	65536	2.192071	1692782
2097152	131072	1.709299	1517226
2097152	262144	1.190189	480888
2097152	524288	0.634831	444640
2097152	1048576	1.059383	424550
4194304	1	0.930701	862515
4194304	2	1.768743	833755
4194304	4	1.669007	898096
4194304	8	1.576556	906480
4194304	16	1.470632	893540
4194304	32	1.332511	861606
4194304	64	1.223410	890753
4194304	128	1.299139	1075644
4194304	256	1.651790	1352597
4194304	512	2.057655	1405836
4194304	1024	1.524717	1467045
4194304	2048	1.927699	1402973
4194304	4096	4.599681	3671970
4194304	8192	4.218948	3619261
4194304	16384	3.698845	3479893
4194304	32768	4.302966	3604119
4194304	65536	3.849705	3546737
4194304	131072	4.132460	3282753
4194304	262144	3.086656	2954194
4194304	524288	1.047111	960454
4194304	1048576	0.935325	888213
4194304	2097152	1.783837	848510
